4426564, 0.02, -0.01, 1.07, -2.53, -1.87, -0.25;
4481168, 0.03, -0.01, 1.07, -2.60, -1.85, -0.43;
4535740, 0.03, 0.00, 1.07, -2.53, -1.88, -0.16;
4590308, 0.03, -0.01, 1.06, -2.55, -1.93, -0.28;
4644900, 0.02, -0.01, 1.07, -2.52, -2.02, -0.24;
4699484, 0.03, -0.00, 1.07, -2.44, -1.84, -0.23;
4754068, 0.02, -0.01, 1.07, -2.43, -1.93, -0.39;
4808668, 0.02, -0.01, 1.07, -2.50, -2.02, -0.06;
4863244, 0.03, -0.00, 1.06, -2.51, -1.85, -0.41;
4917824, 0.03, -0.01, 1.07, -2.59, -2.01, -0.46;
4972412, 0.02, -0.01, 1.07, -2.56, -1.90, -0.39;
5027004, 0.02, -0.01, 1.07, -2.29, -1.60, -0.49;
5081580, 0.02, -0.01, 1.08, -2.50, -2.02, -0.45;
5136156, 0.03, -0.02, 1.06, -2.69, -1.90, -0.26;
5190760, 0.03, -0.00, 1.07, -2.49, -2.05, -0.31;
5245336, 0.02, -0.01, 1.07, -2.49, -2.06, -0.36;
5299924, 0.02, -0.01, 1.07, -2.63, -1.82, -0.40;
5354520, 0.03, -0.01, 1.08, -2.60, -1.92, -0.31;
5409104, 0.03, -0.00, 1.06, -2.53, -1.85, -0.24;
5463688, 0.03, -0.01, 1.06, -2.49, -2.02, -0.26;
5518276, 0.03, -0.01, 1.07, -2.47, -1.95, -0.33;
5572864, 0.03, -0.00, 1.06, -2.36, -1.82, -0.49;
5627444, 0.03, -0.00, 1.07, -2.59, -1.92, -0.30;
5682036, -0.05, 0.09, 1.08, -2.44, -1.82, 5.20;
5736632, 0.12, -0.21, 1.10, 8.50, -1.47, 50.10;
5791276, 0.04, 0.09, 1.05, -3.16, -1.99, -25.08;
5845908, -0.02, -0.07, 1.19, 21.39, -1.85, -7.71;
5900556, 0.00, 0.01, 1.12, 26.14, -1.07, 0.71;
5955164, -0.07, 0.17, 1.02, 86.47, -0.95, 21.66;
6009848, 0.07, 0.10, 0.92, 30.60, 0.50, 18.86;
6064492, 0.00, 0.24, 1.08, 27.46, 13.90, 57.85;
6119188, 0.16, -0.14, 1.10, 32.82, 48.54, 52.82;
6173928, -0.07, -0.06, 1.22, 10.37, 5.44, -58.94;
6228612, -0.08, 0.44, 1.25, -12.53, -70.82, -48.10;
6283368, 0.05, 0.27, 0.99, -17.98, -71.56, -21.57;
6338100, 0.13, 0.20, 1.01, 5.97, -68.57, -44.67;
6392804, 0.29, 0.14, 0.88, 12.37, -20.89, -53.24;
6447548, 0.16, 0.29, 1.05, 36.19, -11.95, -61.02;
6502276, 0.25, 0.42, 1.13, -2.74, -21.52, -85.83;
6556984, 0.16, 0.38, 0.99, -41.23, -21.16, -9.78;
6611680, 0.06, -0.02, 1.02, -67.99, -4.88, -46.09;
6666368, 0.08, 0.15, 1.05, -66.88, -1.85, -64.83;
6721052, 0.11, 0.21, 1.02, -16.67, -2.24, -50.35;
6775764, 0.02, 0.17, 1.26, -7.82, 5.99, -45.34;
6830404, 0.18, 0.21, 1.00, -10.00, 1.56, 5.63;
6885024, -0.04, 0.19, 0.81, -10.52, 49.34, 65.38;
6939768, -0.06, 0.09, 0.78, -12.35, 52.47, 89.88;
6994484, -0.23, 0.08, 0.91, 71.64, 80.40, 114.88;
7049256, -0.30, -0.03, 1.10, 56.41, 66.44, 91.98;
7103972, -0.12, 0.31, 1.11, 35.82, 13.21, 64.40;
7158708, -0.00, 0.37, 0.97, 9.34, 39.05, 102.23;
7213432, -0.01, 0.36, 1.05, -14.32, 31.15, 96.02;
7268144, 0.01, 0.25, 1.06, -17.50, 32.45, 110.34;
7322912, -0.08, 0.25, 1.08, 10.21, 6.35, 88.08;
7377584, -0.11, 0.22, 1.06, 33.52, -0.63, 70.49;
7432292, -0.09, 0.20, 1.07, 88.65, -47.11, 38.02;
7487008, 0.11, 0.38, 0.83, 38.76, -47.52, 5.47;
7541696, 0.11, 0.37, 0.81, 37.11, 1.37, 3.64;
7596336, 0.08, 0.58, 0.84, 35.49, 34.64, -4.76;
7651008, 0.01, 0.49, 0.92, -23.02, 67.49, 1.71;
7705704, -0.10, 0.53, 1.04, -17.83, 16.62, 27.94;
7760440, -0.07, 0.31, 0.99, -47.85, -0.38, 5.34;
7815080, -0.06, 0.42, 0.93, -29.71, 7.70, -6.79;
7869732, 0.05, 0.43, 0.69, -2.99, 52.47, -3.39;
7924368, -0.02, 0.46, 1.14, -61.85, 47.87, 10.75;
7979124, -0.26, 0.42, 0.96, 7.76, -28.98, 32.37;
8033816, -0.08, 0.46, 0.86, 73.49, -3.02, 8.85;
8088444, -0.29, 0.61, 1.06, 19.85, 1.69, 6.77;
8143092, -0.03, 0.43, 0.99, -19.76, -55.50, -14.45;
8197824, 0.10, 0.67, 0.57, 25.90, -17.63, -38.14;
8252572, 0.03, 0.66, 0.94, 1.08, 51.18, 30.38;
8307232, -0.14, 0.59, 1.11, -22.66, 13.48, 27.55;
8361976, -0.20, 0.41, 0.81, -18.07, -20.60, 12.76;
8416708, -0.13, 0.66, 0.85, -9.91, 7.24, 36.96;
8471352, -0.08, 0.40, 0.82, 2.73, 7.73, 56.16;
8526004, -0.05, 0.51, 0.79, 3.76, 32.45, 24.30;
8580676, -0.12, 0.47, 0.77, 15.01, 61.79, 55.50;
